Dystans do przejścia: 20, dlugosc kroku: 2.3
2607:(x,y)=(13.3045,13.0391)
2608:(x,y)=(13.5549,12.809)
2609:(x,y)=(13.7926,12.5659)
2610:(x,y)=(13.8361,12.2287)
2611:(x,y)=(13.5646,12.024)
2612:(x,y)=(13.8963,12.0986)
2613:(x,y)=(14.1816,11.9137)
2614:(x,y)=(14.4763,12.0833)
2615:(x,y)=(14.2161,11.8644)
2616:(x,y)=(14.5361,11.7494)
2617:(x,y)=(14.4836,11.4135)
2618:(x,y)=(14.2121,11.2088)
2619:(x,y)=(14.1215,11.5365)
2620:(x,y)=(14.2435,11.8538)
2621:(x,y)=(14.5834,11.8448)
2622:(x,y)=(14.7821,11.5689)
2623:(x,y)=(15.1219,11.5598)
2624:(x,y)=(15.298,11.269)
2625:(x,y)=(15.2664,10.9304)
2626:(x,y)=(15.5085,10.6916)
2627:(x,y)=(15.2215,10.5092)
2628:(x,y)=(15.4636,10.2704)
2629:(x,y)=(15.6318,10.5658)
2630:(x,y)=(15.5041,10.8809)
2631:(x,y)=(15.1822,10.7716)
2632:(x,y)=(15.4855,10.9253)
2633:(x,y)=(15.3225,11.2236)
2634:(x,y)=(15.6528,11.3041)
2635:(x,y)=(15.5651,10.9756)
2636:(x,y)=(15.2321,11.0444)
2637:(x,y)=(14.8974,10.9845)
2638:(x,y)=(14.5785,11.1023)
2639:(x,y)=(14.535,10.7651)
2640:(x,y)=(14.2464,10.945)
2641:(x,y)=(13.9265,10.83)
2642:(x,y)=(14.2422,10.7037)
2643:(x,y)=(14.0534,10.4209)
2644:(x,y)=(13.998,10.7564)
2645:(x,y)=(14.3378,10.7684)
2646:(x,y)=(14.4051,11.1017)
2647:(x,y)=(14.1074,11.266)
2648:(x,y)=(13.8491,11.4871)
2649:(x,y)=(14.151,11.3307)
2650:(x,y)=(13.9776,11.6232)
2651:(x,y)=(14.1352,11.9244)
2652:(x,y)=(13.8006,11.8645)
2653:(x,y)=(13.8441,11.5273)
2654:(x,y)=(14.1526,11.6702)
2655:(x,y)=(13.8358,11.7936)
2656:(x,y)=(13.5855,11.5635)
2657:(x,y)=(13.8032,11.3023)
2658:(x,y)=(13.8556,10.9664)
2659:(x,y)=(14.1359,11.1589)
2660:(x,y)=(13.8591,11.3563)
2661:(x,y)=(14.1492,11.179)
2662:(x,y)=(14.1086,11.5165)
2663:(x,y)=(14.0532,11.852)
2664:(x,y)=(14.0157,11.5141)
2665:(x,y)=(14.274,11.7352)
2666:(x,y)=(13.9436,11.8156)
2667:(x,y)=(14.2289,11.6307)
2668:(x,y)=(14.4024,11.9231)
2669:(x,y)=(14.6683,12.1349)
2670:(x,y)=(15.0035,12.1918)
2671:(x,y)=(14.8123,12.473)
2672:(x,y)=(14.7391,12.805)
2673:(x,y)=(14.7587,12.4656)
2674:(x,y)=(15.0987,12.4656)
2675:(x,y)=(15.2773,12.7549)
2676:(x,y)=(15.6038,12.6599)
2677:(x,y)=(15.5752,12.9987)
2678:(x,y)=(15.4673,12.6762)
2679:(x,y)=(15.1356,12.7508)
2680:(x,y)=(15.0742,13.0853)
2681:(x,y)=(15.0757,12.7453)
2682:(x,y)=(15.2172,12.4361)
2683:(x,y)=(15.4775,12.2173)
2684:(x,y)=(15.5623,12.5465)
2685:(x,y)=(15.8993,12.5015)
2686:(x,y)=(16.2139,12.6306)
2687:(x,y)=(15.9319,12.4406)
2688:(x,y)=(15.726,12.7112)
2689:(x,y)=(15.513,12.4462)
2690:(x,y)=(15.3743,12.7566)
2691:(x,y)=(15.0359,12.7235)
2692:(x,y)=(15.2649,12.4722)
2693:(x,y)=(15.1713,12.1453)
2694:(x,y)=(14.9826,11.8625)
2695:(x,y)=(14.6793,12.0162)
2696:(x,y)=(14.3431,12.0672)
2697:(x,y)=(14.1011,11.8283)
2698:(x,y)=(13.9735,12.1435)
2699:(x,y)=(13.8238,11.8382)
2700:(x,y)=(14.16,11.8891)
2701:(x,y)=(14.2213,12.2235)
2702:(x,y)=(13.9045,12.347)
2703:(x,y)=(13.7995,12.6704)
2704:(x,y)=(13.4795,12.5553)
2705:(x,y)=(13.7018,12.298)
2706:(x,y)=(14.0237,12.1887)
2707:(x,y)=(13.7434,12.3812)
2708:(x,y)=(14.0758,12.3095)
2709:(x,y)=(13.8821,12.0301)
2710:(x,y)=(13.8089,12.3621)
2711:(x,y)=(14.1021,12.1899)
2712:(x,y)=(13.7792,12.2964)
2713:(x,y)=(14.1181,12.2694)
2714:(x,y)=(14.0188,12.5946)
2715:(x,y)=(13.9545,12.2607)
2716:(x,y)=(13.6146,12.2517)
2717:(x,y)=(13.2751,12.2697)
2718:(x,y)=(12.937,12.3057)
2719:(x,y)=(13.2504,12.1739)
2720:(x,y)=(13.195,12.5093)
2721:(x,y)=(13.2296,12.8476)
2722:(x,y)=(12.9139,12.7213)
2723:(x,y)=(12.574,12.7123)
2724:(x,y)=(12.292,12.5223)
2725:(x,y)=(12.0479,12.7589)
2726:(x,y)=(11.8693,13.0482)
2727:(x,y)=(11.709,12.7484)
2728:(x,y)=(12.0485,12.7665)
2729:(x,y)=(12.053,13.1064)
2730:(x,y)=(11.8285,12.8511)
2731:(x,y)=(12.1383,12.9912)
2732:(x,y)=(12.3628,12.7359)
2733:(x,y)=(12.2606,12.4116)
2734:(x,y)=(11.9533,12.266)
2735:(x,y)=(12.2899,12.2181)
2736:(x,y)=(12.6146,12.3188)
2737:(x,y)=(12.8729,12.5399)
2738:(x,y)=(12.6127,12.3211)
2739:(x,y)=(12.6202,11.9812)
2740:(x,y)=(12.3452,11.7814)
2741:(x,y)=(12.6822,11.7364)
2742:(x,y)=(12.386,11.5694)
2743:(x,y)=(12.4473,11.9038)
2744:(x,y)=(12.5409,11.577)
2745:(x,y)=(12.5303,11.9168)
2746:(x,y)=(12.8621,11.9914)
2747:(x,y)=(12.6222,12.2324)
2748:(x,y)=(12.3525,12.4394)
2749:(x,y)=(12.0208,12.514)
2750:(x,y)=(11.7074,12.3822)
2751:(x,y)=(11.4531,12.1565)
2752:(x,y)=(11.1227,12.237)
2753:(x,y)=(11.1092,11.8973)
2754:(x,y)=(11.1407,11.5587)
2755:(x,y)=(10.8016,11.5828)
2756:(x,y)=(11.0852,11.7703)
2757:(x,y)=(11.1817,11.4442)
2758:(x,y)=(11.0881,11.1174)
2759:(x,y)=(10.8203,10.9079)
2760:(x,y)=(11.0936,11.1102)
2761:(x,y)=(11.0831,11.45)
2762:(x,y)=(10.8993,11.7361)
2763:(x,y)=(11.2385,11.7602)
2764:(x,y)=(10.9582,11.9526)
2765:(x,y)=(10.6363,11.8433)
2766:(x,y)=(10.9756,11.8222)
2767:(x,y)=(11.3153,11.8072)
2768:(x,y)=(11.6426,11.8993)
2769:(x,y)=(11.3052,11.9413)
2770:(x,y)=(11.4575,12.2453)
2771:(x,y)=(11.3903,12.5786)
2772:(x,y)=(11.3438,12.9154)
2773:(x,y)=(11.0259,12.7947)
2774:(x,y)=(11.2881,13.0112)
2775:(x,y)=(11.435,13.3178)
2776:(x,y)=(11.2038,13.5671)
2777:(x,y)=(11.1513,13.2312)
2778:(x,y)=(10.9831,13.5266)
2779:(x,y)=(11.0086,13.1876)
2780:(x,y)=(11.3483,13.1725)
2781:(x,y)=(11.6748,13.0775)
2782:(x,y)=(11.8404,12.7806)
2783:(x,y)=(12.1395,12.6189)
2784:(x,y)=(12.1591,12.2795)
2785:(x,y)=(12.4323,12.4818)
2786:(x,y)=(12.6867,12.2562)
2787:(x,y)=(12.5562,11.9422)
2788:(x,y)=(12.8928,11.8942)
2789:(x,y)=(13.2294,11.9422)
2790:(x,y)=(13.5147,11.7572)
2791:(x,y)=(13.3017,11.4922)
2792:(x,y)=(12.966,11.4383)
2793:(x,y)=(13.2839,11.3176)
2794:(x,y)=(13.3124,11.6564)
2795:(x,y)=(13.6508,11.6234)
2796:(x,y)=(13.7841,11.9362)
2797:(x,y)=(13.8395,12.2716)
2798:(x,y)=(13.5021,12.3137)
2799:(x,y)=(13.7937,12.4884)
2800:(x,y)=(14.1184,12.5892)
2801:(x,y)=(14.4508,12.5175)
2802:(x,y)=(14.6798,12.2662)
2803:(x,y)=(14.7023,12.6055)
2804:(x,y)=(14.4187,12.7929)
2805:(x,y)=(14.5006,12.4629)
2806:(x,y)=(14.5796,12.7936)
2807:(x,y)=(14.8856,12.9419)
2808:(x,y)=(15.2121,12.8469)
2809:(x,y)=(15.3508,13.1573)
2810:(x,y)=(15.644,12.9852)
2811:(x,y)=(15.7689,12.6689)
2812:(x,y)=(15.5776,12.9501)
2813:(x,y)=(15.6997,13.2674)
2814:(x,y)=(15.3875,13.402)
2815:(x,y)=(15.1072,13.5945)
2816:(x,y)=(14.7742,13.6632)
2817:(x,y)=(14.7041,13.3305)
2818:(x,y)=(15.0269,13.437)
2819:(x,y)=(15.2773,13.2069)
2820:(x,y)=(15.3563,13.5376)
2821:(x,y)=(15.0192,13.4926)
2822:(x,y)=(15.359,13.5046)
2823:(x,y)=(15.2655,13.1778)
2824:(x,y)=(15.3239,12.8428)
2825:(x,y)=(15.6155,13.0176)
2826:(x,y)=(15.2976,12.8969)
2827:(x,y)=(15.1926,13.2203)
2828:(x,y)=(14.8792,13.0884)
2829:(x,y)=(14.967,12.7599)
2830:(x,y)=(14.7271,13.0009)
2831:(x,y)=(14.4727,12.7752)
2832:(x,y)=(14.1891,12.9627)
2833:(x,y)=(13.9006,13.1426)
2834:(x,y)=(13.6105,12.9653)
2835:(x,y)=(13.2718,12.9953)
2836:(x,y)=(13.5433,12.7906)
2837:(x,y)=(13.883,12.7756)
2838:(x,y)=(14.0865,12.5032)
2839:(x,y)=(13.7547,12.5778)
2840:(x,y)=(13.8655,12.8993)
2841:(x,y)=(13.8941,13.2381)
2842:(x,y)=(13.8835,13.5779)
2843:(x,y)=(14.1234,13.8189)
2844:(x,y)=(13.8556,13.6094)
2845:(x,y)=(13.6847,13.3154)
2846:(x,y)=(13.4885,13.5931)
2847:(x,y)=(13.5231,13.9314)
2848:(x,y)=(13.1958,14.0235)
2849:(x,y)=(13.418,13.7662)
2850:(x,y)=(13.6704,13.9941)
2851:(x,y)=(13.7924,14.3114)
2852:(x,y)=(13.4852,14.1658)
2853:(x,y)=(13.7638,13.9709)
2854:(x,y)=(13.7113,13.6349)
2855:(x,y)=(13.8925,13.3472)
2856:(x,y)=(14.0581,13.0503)
2857:(x,y)=(14.3586,13.2093)
2858:(x,y)=(14.6976,13.1823)
2859:(x,y)=(14.9288,13.4316)
2860:(x,y)=(15.2021,13.6339)
2861:(x,y)=(15.0716,13.3199)
2862:(x,y)=(15.3431,13.1152)
2863:(x,y)=(15.4308,12.7867)
2864:(x,y)=(15.6707,13.0277)
2865:(x,y)=(15.9576,12.8452)
2866:(x,y)=(15.6691,13.0251)
2867:(x,y)=(15.5901,13.3558)
2868:(x,y)=(15.6247,13.6941)
2869:(x,y)=(15.9475,13.8006)
2870:(x,y)=(15.7741,14.093)
2871:(x,y)=(15.446,14.0038)
2872:(x,y)=(15.283,14.3021)
2873:(x,y)=(14.9898,14.13)
2874:(x,y)=(14.6617,14.0407)
2875:(x,y)=(14.8326,13.7468)
2876:(x,y)=(14.9822,13.4415)
2877:(x,y)=(14.7577,13.1862)
2878:(x,y)=(15.043,13.0012)
2879:(x,y)=(15.3686,12.9033)
2880:(x,y)=(15.0867,12.7133)
2881:(x,y)=(15.4233,12.6654)
2882:(x,y)=(15.7631,12.6564)
2883:(x,y)=(15.7018,12.9908)
2884:(x,y)=(15.9101,12.722)
2885:(x,y)=(16.1644,12.4964)
2886:(x,y)=(16.3866,12.7537)
2887:(x,y)=(16.4946,12.4313)
2888:(x,y)=(16.6361,12.7405)
2889:(x,y)=(16.7468,13.0619)
2890:(x,y)=(16.8828,12.7503)
2891:(x,y)=(16.7172,12.4534)
2892:(x,y)=(16.5489,12.7488)
2893:(x,y)=(16.228,12.861)
2894:(x,y)=(16.457,12.6097)
2895:(x,y)=(16.3838,12.9417)
2896:(x,y)=(16.3793,13.2817)
2897:(x,y)=(16.1078,13.077)
2898:(x,y)=(16.2493,13.3862)
2899:(x,y)=(16.0606,13.1034)
2900:(x,y)=(16.3923,13.178)
2901:(x,y)=(16.0539,13.1449)
2902:(x,y)=(15.8753,13.4342)
2903:(x,y)=(15.6463,13.1829)
2904:(x,y)=(15.9379,13.3577)
2905:(x,y)=(15.6478,13.1803)
2906:(x,y)=(15.8961,13.4126)
2907:(x,y)=(16.0591,13.711)
2908:(x,y)=(15.72,13.7351)
2909:(x,y)=(15.6149,14.0584)
2910:(x,y)=(15.9533,14.0254)
2911:(x,y)=(15.8091,13.7175)
2912:(x,y)=(15.8136,14.0575)
2913:(x,y)=(15.5533,13.8386)
2914:(x,y)=(15.3773,13.5478)
2915:(x,y)=(15.2954,13.2178)
2916:(x,y)=(14.9576,13.1787)
2917:(x,y)=(14.9742,13.5183)
2918:(x,y)=(15.1964,13.261)
2919:(x,y)=(15.1321,12.9272)
2920:(x,y)=(15.3258,12.6478)
2921:(x,y)=(15.3753,12.9841)
2922:(x,y)=(15.3437,12.6456)
2923:(x,y)=(15.3693,12.3066)
2924:(x,y)=(15.0571,12.4412)
2925:(x,y)=(15.0017,12.7766)
2926:(x,y)=(15.2193,12.5154)
2927:(x,y)=(15.0778,12.8246)
2928:(x,y)=(15.0373,13.1622)
2929:(x,y)=(15.2235,13.4466)
2930:(x,y)=(15.5619,13.4136)
2931:(x,y)=(15.3199,13.1748)
2932:(x,y)=(14.9822,13.1357)
2933:(x,y)=(15.0316,13.4721)
2934:(x,y)=(15.369,13.5142)
2935:(x,y)=(15.4538,13.8434)
2936:(x,y)=(15.1405,13.7115)
2937:(x,y)=(15.151,14.0514)
2938:(x,y)=(14.8174,13.9856)
2939:(x,y)=(15.0327,14.2487)
2940:(x,y)=(14.9537,14.5794)
2941:(x,y)=(15.1167,14.8778)
2942:(x,y)=(14.9014,15.1409)
2943:(x,y)=(14.843,14.806)
2944:(x,y)=(14.5113,14.8806)
2945:(x,y)=(14.2244,14.6981)
2946:(x,y)=(13.8874,14.6531)
2947:(x,y)=(14.1806,14.4809)
2948:(x,y)=(13.9969,14.1948)
2949:(x,y)=(13.72,14.3922)
2950:(x,y)=(13.9879,14.1828)
2951:(x,y)=(14.1375,13.8775)
2952:(x,y)=(14.0015,13.5659)
2953:(x,y)=(13.6734,13.4767)
2954:(x,y)=(13.9999,13.3817)
2955:(x,y)=(14.3351,13.4386)
2956:(x,y)=(14.0015,13.3728)
2957:(x,y)=(14.3332,13.4474)
2958:(x,y)=(14.4775,13.1395)
2959:(x,y)=(14.7751,13.3038)
2960:(x,y)=(14.9512,13.0129)
2961:(x,y)=(14.7829,13.3084)
2962:(x,y)=(14.4519,13.2308)
2963:(x,y)=(14.7718,13.1158)
2964:(x,y)=(15.0778,13.2641)
2965:(x,y)=(15.3977,13.1491)
2966:(x,y)=(15.0867,13.0117)
2967:(x,y)=(14.8737,12.7467)
2968:(x,y)=(15.1784,12.5957)
2969:(x,y)=(15.344,12.2988)
2970:(x,y)=(15.6837,12.2837)
2971:(x,y)=(15.5815,11.9595)
2972:(x,y)=(15.7968,12.2226)
2973:(x,y)=(15.8403,11.8854)
2974:(x,y)=(15.584,12.1088)
2975:(x,y)=(15.3143,12.3158)
2976:(x,y)=(15.0898,12.0605)
2977:(x,y)=(15.3684,11.8655)
2978:(x,y)=(15.2107,12.1668)
2979:(x,y)=(15.0219,11.884)
2980:(x,y)=(14.9255,11.5579)
2981:(x,y)=(15.0104,11.8872)
2982:(x,y)=(15.2956,11.7022)
2983:(x,y)=(15.3978,11.3779)
2984:(x,y)=(15.5529,11.0753)
2985:(x,y)=(15.8414,11.2552)
2986:(x,y)=(15.8968,11.5907)
2987:(x,y)=(16.2177,11.7029)
2988:(x,y)=(16.5539,11.7538)
2989:(x,y)=(16.2917,11.9703)
2990:(x,y)=(16.0883,11.6979)
2991:(x,y)=(15.8896,11.422)
2992:(x,y)=(16.0683,11.7113)
2993:(x,y)=(16.4082,11.7173)
2994:(x,y)=(16.7444,11.7683)
2995:(x,y)=(16.4424,11.6119)
2996:(x,y)=(16.1186,11.5083)
2997:(x,y)=(15.803,11.382)
2998:(x,y)=(15.4862,11.5055)
2999:(x,y)=(15.2779,11.2367)
3000:(x,y)=(15.5852,11.0911)
3001:(x,y)=(15.2516,11.0254)
3002:(x,y)=(15.0117,11.2663)
3003:(x,y)=(15.076,10.9324)
3004:(x,y)=(14.8848,11.2136)
3005:(x,y)=(14.5995,11.0286)
3006:(x,y)=(14.9376,11.0646)
3007:(x,y)=(14.6278,11.2048)
3008:(x,y)=(14.5605,11.538)
3009:(x,y)=(14.8265,11.7499)
3010:(x,y)=(14.487,11.7679)
3011:(x,y)=(14.8037,11.8914)
3012:(x,y)=(15.1399,11.9423)
3013:(x,y)=(15.2949,11.6397)
3014:(x,y)=(14.989,11.788)
3015:(x,y)=(14.9784,12.1279)
3016:(x,y)=(15.0516,12.4599)
3017:(x,y)=(15.3335,12.2699)
3018:(x,y)=(15.5394,12.5405)
3019:(x,y)=(15.8467,12.3949)
3020:(x,y)=(16.0887,12.1561)
3021:(x,y)=(16.1823,11.8293)
3022:(x,y)=(16.4724,11.6519)
3023:(x,y)=(16.2963,11.3611)
3024:(x,y)=(16.4724,11.0702)
3025:(x,y)=(16.2912,10.7825)
3026:(x,y)=(16.4489,11.0837)
3027:(x,y)=(16.1279,11.1959)
3028:(x,y)=(16.4099,11.0059)
3029:(x,y)=(16.0989,10.8685)
3030:(x,y)=(16.2826,11.1546)
3031:(x,y)=(16.1633,10.8362)
3032:(x,y)=(16.1318,10.4977)
3033:(x,y)=(15.8898,10.2589)
3034:(x,y)=(15.552,10.2198)
3035:(x,y)=(15.8526,10.3789)
3036:(x,y)=(15.5706,10.1889)
3037:(x,y)=(15.3529,9.92766)
3038:(x,y)=(15.4436,10.2554)
3039:(x,y)=(15.5932,9.95006)
3040:(x,y)=(15.9289,9.89613)
3041:(x,y)=(16.2683,9.87509)
3042:(x,y)=(16.3876,9.5567)
3043:(x,y)=(16.0579,9.4733)
3044:(x,y)=(15.7179,9.47329)
3045:(x,y)=(16.0575,9.49134)
3046:(x,y)=(15.7176,9.48231)
3047:(x,y)=(15.692,9.14327)
3048:(x,y)=(15.9254,8.89605)
3049:(x,y)=(16.1987,9.09832)
3050:(x,y)=(16.3484,8.79303)
3051:(x,y)=(16.0507,8.95735)
3052:(x,y)=(16.0733,9.2966)
3053:(x,y)=(16.4043,9.21906)
3054:(x,y)=(16.3489,9.55451)
3055:(x,y)=(16.688,9.57857)
3056:(x,y)=(17.0237,9.52465)
3057:(x,y)=(17.1144,9.85234)
3058:(x,y)=(17.451,9.90033)
3059:(x,y)=(17.2198,10.1496)
3060:(x,y)=(16.952,9.94015)
3061:(x,y)=(16.7837,10.2356)
3062:(x,y)=(16.8062,10.5748)
3063:(x,y)=(16.526,10.7673)
3064:(x,y)=(16.8658,10.7794)
3065:(x,y)=(16.968,10.4551)
3066:(x,y)=(17.1786,10.722)
3067:(x,y)=(16.8629,10.5957)
3068:(x,y)=(17.1498,10.4132)
3069:(x,y)=(16.8132,10.4612)
3070:(x,y)=(17.1443,10.3837)
3071:(x,y)=(17.1368,10.0438)
3072:(x,y)=(16.8032,9.97799)
3073:(x,y)=(16.8497,10.3148)
3074:(x,y)=(17.0895,10.5557)
3075:(x,y)=(17.4219,10.4841)
3076:(x,y)=(17.6442,10.2268)
3077:(x,y)=(17.9765,10.1551)
3078:(x,y)=(17.6774,9.99343)
3079:(x,y)=(17.8509,10.2858)
3080:(x,y)=(17.6932,10.5871)
3081:(x,y)=(17.4254,10.3776)
3082:(x,y)=(17.7313,10.5259)
3083:(x,y)=(18.001,10.733)
3084:(x,y)=(17.9634,10.3951)
3085:(x,y)=(18.2581,10.5646)
3086:(x,y)=(18.3575,10.8898)
3087:(x,y)=(18.6177,10.671)
3088:(x,y)=(18.323,10.8406)
3089:(x,y)=(18.3245,10.5006)
3090:(x,y)=(18.6236,10.3389)
3091:(x,y)=(18.7759,10.6428)
3092:(x,y)=(18.437,10.6158)
3093:(x,y)=(18.0986,10.5827)
3094:(x,y)=(17.9124,10.8672)
3095:(x,y)=(18.1036,11.1483)
3096:(x,y)=(18.0691,11.4866)
3097:(x,y)=(17.7291,11.4926)
3098:(x,y)=(17.5661,11.791)
3099:(x,y)=(17.5887,12.1302)
3100:(x,y)=(17.6022,11.7905)
3101:(x,y)=(17.2665,11.7365)
3102:(x,y)=(17.6035,11.6915)
3103:(x,y)=(17.566,11.3536)
3104:(x,y)=(17.2759,11.1763)
3105:(x,y)=(17.0196,11.3997)
3106:(x,y)=(17.0631,11.0625)
3107:(x,y)=(16.8431,11.3217)
3108:(x,y)=(16.5398,11.4754)
3109:(x,y)=(16.7457,11.746)
3110:(x,y)=(17.0768,11.6684)
3111:(x,y)=(16.7548,11.5591)
3112:(x,y)=(16.4152,11.544)
3113:(x,y)=(16.2903,11.2278)
3114:(x,y)=(16.2025,10.8993)
3115:(x,y)=(16.4776,10.6995)
3116:(x,y)=(16.3067,10.4055)
3117:(x,y)=(16.6072,10.5646)
3118:(x,y)=(16.385,10.3073)
3119:(x,y)=(16.6948,10.4474)
3120:(x,y)=(16.4771,10.1862)
3121:(x,y)=(16.6076,9.87221)
3122:(x,y)=(16.946,9.83917)
3123:(x,y)=(16.6498,9.67221)
3124:(x,y)=(16.3413,9.81506)
3125:(x,y)=(16.0972,10.0517)
3126:(x,y)=(15.8369,9.83291)
3127:(x,y)=(15.5052,9.90751)
3128:(x,y)=(15.6964,10.1886)
3129:(x,y)=(16.0342,10.1496)
3130:(x,y)=(15.8307,9.87722)
3131:(x,y)=(15.9857,9.57462)
3132:(x,y)=(15.6505,9.63151)
3133:(x,y)=(15.8109,9.33171)
3134:(x,y)=(16.0376,9.58505)
3135:(x,y)=(15.8131,9.32971)
3136:(x,y)=(16.1529,9.34174)
3137:(x,y)=(16.4461,9.16958)
3138:(x,y)=(16.6817,9.41474)
3139:(x,y)=(16.9637,9.22476)
3140:(x,y)=(17.2405,9.42217)
3141:(x,y)=(17.4008,9.12236)
3142:(x,y)=(17.2676,9.43517)
3143:(x,y)=(17.5138,9.20068)
3144:(x,y)=(17.5303,9.54027)
3145:(x,y)=(17.3569,9.83269)
3146:(x,y)=(17.0637,9.66052)
3147:(x,y)=(16.7604,9.8142)
3148:(x,y)=(16.8099,10.1506)
3149:(x,y)=(17.1465,10.1986)
3150:(x,y)=(16.9756,9.90462)
3151:(x,y)=(17.2524,10.102)
3152:(x,y)=(17.4021,9.79674)
3153:(x,y)=(17.1709,10.046)
3154:(x,y)=(17.3862,10.3091)
3155:(x,y)=(17.7223,10.3601)
3156:(x,y)=(18.014,10.5349)
3157:(x,y)=(17.8975,10.8543)
3158:(x,y)=(17.5786,10.9722)
3159:(x,y)=(17.5771,10.6322)
3160:(x,y)=(17.8971,10.5171)
3161:(x,y)=(17.6637,10.2699)
3162:(x,y)=(17.4134,10.0398)
3163:(x,y)=(17.1249,10.2197)
3164:(x,y)=(17.4513,10.1247)
3165:(x,y)=(17.3292,10.442)
3166:(x,y)=(17.1558,10.7344)
3167:(x,y)=(16.8472,10.8773)
3168:(x,y)=(16.728,10.5589)
3169:(x,y)=(16.5443,10.2728)
3170:(x,y)=(16.8838,10.2908)
3171:(x,y)=(17.2094,10.1929)
3172:(x,y)=(16.877,10.1213)
3173:(x,y)=(16.6415,10.3664)
3174:(x,y)=(16.7775,10.0548)
3175:(x,y)=(16.815,9.71688)
3176:(x,y)=(16.9086,9.39001)
3177:(x,y)=(16.8561,9.05408)
3178:(x,y)=(17.0398,9.34018)
3179:(x,y)=(17.3496,9.48031)
3180:(x,y)=(17.4801,9.16634)
3181:(x,y)=(17.1582,9.05698)
3182:(x,y)=(17.0249,9.36979)
3183:(x,y)=(16.685,9.3758)
3184:(x,y)=(17.0179,9.44453)
3185:(x,y)=(16.7001,9.32385)
3186:(x,y)=(16.3705,9.24045)
3187:(x,y)=(16.2885,8.91047)
3188:(x,y)=(15.9866,8.75411)
3189:(x,y)=(16.2751,8.934)
3190:(x,y)=(16.2108,8.60014)
3191:(x,y)=(15.9272,8.78761)
3192:(x,y)=(16.2357,8.93047)
3193:(x,y)=(15.9235,9.06508)
3194:(x,y)=(16.0568,9.37789)
3195:(x,y)=(16.2835,9.63124)
3196:(x,y)=(16.4358,9.9352)
3197:(x,y)=(16.1062,9.85181)
3198:(x,y)=(16.2113,10.1752)
3199:(x,y)=(16.1381,10.5072)
3200:(x,y)=(15.839,10.3455)
3201:(x,y)=(15.7086,10.0315)
3202:(x,y)=(15.9506,9.79273)
3203:(x,y)=(15.8484,9.46845)
3204:(x,y)=(16.178,9.38507)
3205:(x,y)=(16.4926,9.51414)
3206:(x,y)=(16.2323,9.29533)
3207:(x,y)=(16.5533,9.40753)
3208:(x,y)=(16.5848,9.069)
3209:(x,y)=(16.9248,9.07502)
3210:(x,y)=(16.8312,8.74814)
3211:(x,y)=(16.5527,8.55319)
3212:(x,y)=(16.2175,8.61008)
3213:(x,y)=(16.4796,8.82658)
3214:(x,y)=(16.5674,8.4981)
3215:(x,y)=(16.4481,8.17971)
3216:(x,y)=(16.75,8.02335)
3217:(x,y)=(16.7095,8.36092)
3218:(x,y)=(16.6541,8.69638)
3219:(x,y)=(16.4411,8.43136)
3220:(x,y)=(16.368,8.7634)
3221:(x,y)=(16.3574,9.10323)
3222:(x,y)=(16.1444,8.83822)
3223:(x,y)=(15.8941,8.60811)
3224:(x,y)=(15.7181,8.31724)
3225:(x,y)=(15.5472,8.02329)
3226:(x,y)=(15.2074,8.03531)
3227:(x,y)=(15.3678,7.73551)
3228:(x,y)=(15.0281,7.72046)
3229:(x,y)=(15.2941,7.93229)
3230:(x,y)=(15.3226,8.27109)
3231:(x,y)=(14.983,8.25605)
3232:(x,y)=(14.643,8.25604)
3233:(x,y)=(14.6054,7.91811)
3234:(x,y)=(14.3924,7.6531)
3235:(x,y)=(14.1088,7.84057)
3236:(x,y)=(14.1672,7.50562)
3237:(x,y)=(14.4092,7.26681)
3238:(x,y)=(14.5313,7.58414)
3239:(x,y)=(14.4581,7.91618)
3240:(x,y)=(14.7979,7.92821)
3241:(x,y)=(14.5826,8.19133)
3242:(x,y)=(14.9217,8.21539)
3243:(x,y)=(14.6755,7.98089)
3244:(x,y)=(14.9774,7.82453)
3245:(x,y)=(15.2794,7.66817)
3246:(x,y)=(15.221,7.33322)
3247:(x,y)=(15.3403,7.01483)
3248:(x,y)=(15.6783,7.05087)
3249:(x,y)=(15.4701,6.78213)
3250:(x,y)=(15.6304,6.48232)
3251:(x,y)=(15.9351,6.33133)
3252:(x,y)=(15.6973,6.08826)
3253:(x,y)=(15.9905,5.9161)
3254:(x,y)=(15.7506,6.15704)
3255:(x,y)=(16.0566,6.30534)
3256:(x,y)=(15.8366,6.5646)
3257:(x,y)=(15.9388,6.24033)
3258:(x,y)=(16.2241,6.05537)
3259:(x,y)=(16.4974,6.25765)
3260:(x,y)=(16.2939,5.98525)
3261:(x,y)=(16.3374,5.64805)
3262:(x,y)=(16.6177,5.84053)
3263:(x,y)=(16.5358,5.51055)
3264:(x,y)=(16.8431,5.36497)
3265:(x,y)=(16.6118,5.61426)
3266:(x,y)=(16.5803,5.27572)
3267:(x,y)=(16.8481,5.06627)
3268:(x,y)=(16.7232,4.75003)
3269:(x,y)=(16.6501,5.08207)
3270:(x,y)=(16.9899,5.09411)
3271:(x,y)=(16.6557,5.15692)
3272:(x,y)=(16.8847,4.9056)
3273:(x,y)=(16.8682,5.2452)
3274:(x,y)=(16.5649,5.39888)
3275:(x,y)=(16.3712,5.11946)
3276:(x,y)=(16.6046,4.87223)
